,title,issueNum,year,creator
3365,Green Lantern Sinestro Corps Special,1,2007,W. Moose Baumann
3366,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Mike W. Barr
3367,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Ronan Cliquet
3368,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Diogenes Neves
3369,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Carrie Strachan
3370,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Juan Albarran
3371,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Wendy Broome
3372,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Robert 'Bob' Harras
3373,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Ruy Jose
3374,Suicide Squad Most Wanted: Deadshot & Katana,6,2016,Cary Nord
3375,All-Flash,21,1941,Sheldon Mayer
3376,All-Flash,21,1941,Martin Naydel
3377,The Legend of Wonder Woman,18,2015,Ray Dillon
3378,The Legend of Wonder Woman,18,2015,Renae De Liz
3379,Harley's Little Black Book,3,2016,Amanda Conner
3380,Harley's Little Black Book,3,2016,Jimmy Palmiotti
3381,Harley's Little Black Book,3,2016,Joseph Michael Linsner
3382,Harley's Little Black Book,3,2016,Hi-Fi Colour Design
3383,Diana Prince: Wonder Woman,None,2008,Robert 'Bob' Joy
3385,Diana Prince: Wonder Woman,None,2008,Drew R. Moore
3386,Diana Prince: Wonder Woman,None,2008,Michael 'Mike' Sekowsky
3387,Diana Prince: Wonder Woman,None,2008,Dick Giordano
3388,Green Lantern: Rebirth,2,2004,Geoff Johns
3389,Green Lantern: Rebirth,2,2004,Ethan Van Sciver
3390,Green Lantern: Rebirth,2,2004,Prentis Rollins
3391,Green Lantern: Rebirth,2,2004,W. Moose Baumann
3392,Wonder Woman,272,1942,David 'Dave' Hunt
3393,Wonder Woman,272,1942,Jerry Serpe
3394,Wonder Woman,272,1942,Gerry Conway
3395,Wonder Woman,272,1942,Dick Giordano
3396,Wonder Woman,272,1942,David Emmett 'Dave' Cockrum
3397,Wonder Woman,272,1942,Jos Delbo
3398,Justice League,8,2011,Joe Prado
3399,Justice League,8,2011,Gabriel A. Eltaeb
3400,Justice League,8,2011,Carlos D'Anda
3401,Justice League,8,2011,Alex Sinclair - 'Sinc'
3402,Justice League,8,2011,Ivan Reis - 'Rodrigo Ivan dos Reis'
3403,Justice League,8,2011,Brad Anderson
3404,Justice League,8,2011,Geoff Johns
3405,Justice League,8,2011,Gary Frank
3406,Green Lantern,138,1990,Rodney Ramos
3407,Green Lantern,138,1990,Dale Eaglesham
3408,Green Lantern,138,1990,W. Moose Baumann
3409,Green Lantern,138,1990,Judd Winick
3410,Justice League of America,111,1960,Julius Schwartz
3411,Justice League of America,111,1960,Len Wein
3412,Justice League of America,111,1960,Glynis Wein
3413,Justice League of America,111,1960,Dick Giordano
3414,Justice League of America,111,1960,Nick Cardy
3415,Justice League of America,111,1960,Dick Dillin
3416,Green Lantern: The Sinestro Corps War,None,2008,Rodrigo Reis - 'Rod'
3417,Green Lantern: The Sinestro Corps War,None,2008,Angel Unzueta
3418,Green Lantern: The Sinestro Corps War,None,2008,Jerry Ordway
3419,Green Lantern: The Sinestro Corps War,None,2008,Oclair Albert
3420,Green Lantern: The Sinestro Corps War,None,2008,Patrick 'Pat' Gleason
3421,Green Lantern: The Sinestro Corps War,None,2008,Geoff Johns
3422,Green Lantern: The Sinestro Corps War,None,2008,Rodney Ramos
3423,Green Lantern: The Sinestro Corps War,None,2008,Prentis Rollins
3424,Green Lantern: The Sinestro Corps War,None,2008,David Curiel
3425,Green Lantern: The Sinestro Corps War,None,2008,Dave Gibbons
3426,Green Lantern: The Sinestro Corps War,None,2008,W. Moose Baumann
3427,Green Lantern: The Sinestro Corps War,None,2008,Robert 'Rob' Hunter - 'Bobby-C'
3428,Green Lantern: The Sinestro Corps War,None,2008,Drew Geraci
3429,Green Lantern: The Sinestro Corps War,None,2008,Tom Nguyen
3430,Green Lantern: The Sinestro Corps War,None,2008,Julio Ferreira
3431,Green Lantern: The Sinestro Corps War,None,2008,Ethan Van Sciver
3432,Green Lantern: The Sinestro Corps War,None,2008,Dan Davis
3433,Green Lantern: The Sinestro Corps War,None,2008,Vicente Cifuentes
3434,Green Lantern: The Sinestro Corps War,None,2008,Jamal Yaseem Igle
3435,Green Lantern: The Sinestro Corps War,None,2008,Pascal Alixe
3436,Green Lantern: The Sinestro Corps War,None,2008,Jonathan D. Smith - 'J.D.'
3437,Green Lantern: The Sinestro Corps War,None,2008,Peter J. Tomasi
3438,Green Lantern: The Sinestro Corps War,None,2008,Rebecca Buchman
3439,Green Lantern: The Sinestro Corps War,None,2008,Guy Major
3440,Green Lantern: The Sinestro Corps War,None,2008,Dustin Nguyen
3441,Green Lantern: The Sinestro Corps War,None,2008,Marlo Alquiza
3442,Green Lantern: The Sinestro Corps War,None,2008,Derek Fridolfs
3443,Green Lantern: The Sinestro Corps War,None,2008,Ivan Reis - 'Rodrigo Ivan dos Reis'
3444,Green Lantern: The Sinestro Corps War,None,2008,Rodney Ramos
3445,Green Lantern: The Sinestro Corps War,None,2008,Dave Gibbons
3446,Green Lantern: The Sinestro Corps War,None,2008,Guy Major
3447,Green Lantern: The Sinestro Corps War,None,2008,W. Moose Baumann
3448,Green Lantern: The Sinestro Corps War,None,2008,Drew Geraci
3449,Green Lantern: The Sinestro Corps War,None,2008,Angel Unzueta
3450,Green Lantern: The Sinestro Corps War,None,2008,Ivan Reis - 'Rodrigo Ivan dos Reis'
3451,Green Lantern: The Sinestro Corps War,None,2008,Oclair Albert
3452,Green Lantern: The Sinestro Corps War,None,2008,Patrick 'Pat' Gleason
3453,Green Lantern: The Sinestro Corps War,None,2008,Geoff Johns
3454,Green Lantern: The Sinestro Corps War,None,2008,Ethan Van Sciver
3455,Green Lantern: The Sinestro Corps War,None,2008,Prentis Rollins
3456,The Flash,4,2010,Geoff Johns
3457,The Flash,4,2010,Brian Buccellato - 'Brian Bucce'
3458,The Death of Hawkman,1,2016,Aaron Lopresti
3459,The Death of Hawkman,1,2016,John Livesay
3460,The Death of Hawkman,1,2016,Blond
3461,The Death of Hawkman,1,2016,Marc Andreyko
3462,The Flash,6,1987,Larry Mahlstedt
3463,The Flash,6,1987,Jackson 'Butch' Guice
3464,The Flash,6,1987,Mike Baron
3465,The Flash,6,1987,Shelley Eiber
3466,Green Lantern Corps,None,2011,Marlo Alquiza
3468,Green Lantern Corps,None,2011,Chris Cross - 'ChrisCross / Christopher Emmanuel Williams'
3469,Green Lantern Corps,None,2011,Wilfredo 'Wil' Quintana
3470,Green Lantern Corps,None,2011,Scott Hanna
3471,Green Lantern Corps,None,2011,Peter J. Tomasi
3473,Wonder Woman,45,1942,Bernard Sachs
3474,Wonder Woman,45,1942,Irving ''Irv'' Novick
3475,Wonder Woman,45,1942,Robert 'Bob' Kanigher
3476,Wonder Woman,45,1942,Whitney Ellsworth
3477,Flashpoint: Deadman and the Flying Graysons,1,2011,Jeffrey T. Krul - 'J.T. Krul'
3478,Flashpoint: Deadman and the Flying Graysons,1,2011,Mikel Janin
3479,Flashpoint: Deadman and the Flying Graysons,1,2011,Ulises Arreola
3480,The Flash,None,1987,Rachel Gluckstern
3481,The Flash,None,1987,Joan Hilty
3482,The Flash,None,1987,Daniel Acua - 'Daniel Acua Perez'
3483,The Flash,None,1987,Mark Waid
3484,Suicide Squad,8,2016,Harvey Richards
3485,Suicide Squad,8,2016,Jeremiah Skipper
3486,Suicide Squad,8,2016,Richard Friend
3487,Suicide Squad,8,2016,Andy Khouri
3488,Suicide Squad,8,2016,Brian Cunningham
3489,Suicide Squad,8,2016,Sandra Hope-Archer
3490,Suicide Squad,8,2016,Alex Sinclair - 'Sinc'
3491,Suicide Squad,8,2016,Scott Williams
3492,Suicide Squad,8,2016,Jim Lee
3493,Suicide Squad,8,2016,Robert 'Bob' Harras
3494,Suicide Squad,8,2016,Rob Williams
3495,Green Arrow,None,1988,David A Roach
3496,Green Arrow,None,1988,Mike Grell
3497,Green Arrow,None,1988,Jed Hotchkiss
3498,Green Arrow,None,1988,Patricia 'Trish' Mulvihill
3499,Green Arrow,None,1988,Steve Pini
3500,Green Arrow,None,1988,Mike Collins
3501,Green Arrow,None,1988,Frank McLaughlin
3502,The Flash,137,1987,Mark Millar
3503,The Flash,137,1987,Tom J. McCraw
3504,The Flash,137,1987,Grant Morrison
3505,The Flash,137,1987,John Nyberg
3506,The Flash,137,1987,Ron Wagner
3507,Justice League Dark,30,2011,Mark John Irwin
3508,Justice League Dark,30,2011,John Marc 'J.M.' DeMatteis
3509,Justice League Dark,30,2011,Brad Anderson
3510,Justice League Dark,30,2011,Andres Guinaldo
3511,Suiciders: Kings of Hell.A.,5,2016,Alessandro Vitti
3512,Suiciders: Kings of Hell.A.,5,2016,Lee Bermejo
3513,Suiciders: Kings of Hell.A.,5,2016,Vertigo
3514,Suiciders: Kings of Hell.A.,5,2016,Jordan Boyd
3516,Justice League Beyond,17,2012,Derek Fridolfs
3517,Justice League Beyond,17,2012,Dustin Nguyen
3518,Justice League Beyond,17,2012,Fiona Staples
3519,Justice League: Gods & Monsters [II],3,2015,Bruce Walter Timm
3520,Justice League: Gods & Monsters [II],3,2015,John Marc 'J.M.' DeMatteis
3521,Justice League: Gods & Monsters [II],3,2015,Thony Silas
3522,Justice League: Gods & Monsters [II],3,2015,Tony Avia
3523,Justice League Quarterly,9,1990,Rod Whigham
3524,Justice League Quarterly,9,1990,Brian Michael Augustyn
3525,Justice League Quarterly,9,1990,Mike DeCarlo
3526,Justice League Quarterly,9,1990,Andy Smith
3527,Justice League Quarterly,9,1990,Mark Waid
3528,Justice League Quarterly,9,1990,Gene D'Angelo
3529,Justice League: The Rise of Arsenal,1,2010,Jeffrey T. Krul - 'J.T. Krul'
3530,Justice League: The Rise of Arsenal,1,2010,Geraldo Borges
3531,Justice League: The Rise of Arsenal,1,2010,Hi-Fi Colour Design
3532,Justice League: The Rise of Arsenal,1,2010,Marlo Alquiza
3534,Aquaman,10,1962,Nick Cardy
3535,Aquaman,10,1962,Jack Miller
3536,Wonder Woman,44,2011,David Finch
3537,Wonder Woman,44,2011,Meredith Finch
3538,Wonder Woman,44,2011,Jonathan Glapion
3539,Wonder Woman,44,2011,Brad Anderson
3540,Supergirl,0,2005,Norm Rapmund
3541,Supergirl,0,2005,"Joseph ""Jeph"" Loeb III"
3542,Supergirl,0,2005,Christina Strain
3543,Supergirl,0,2005,Ian Churchill
3544,Justice League of America,38,2006,Mark Bagley
3545,Justice League of America,38,2006,Robert 'Rob' Hunter - 'Bobby-C'
3546,Justice League of America,38,2006,Pete Pantazis
3547,Justice League of America,38,2006,James Dale Robinson
3548,Justice League of America,258,1960,John Marc 'J.M.' DeMatteis
3549,Justice League of America,258,1960,Bob Smith
3550,Justice League of America,258,1960,Gene D'Angelo
3551,Justice League of America,258,1960,Luke McDonnell
3552,Wonder Woman,30,2011,Goran Suduka
3553,Wonder Woman,30,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
3554,Wonder Woman,30,2011,Brian Azzarello
3555,Justice League of America,250,1960,Gerry Conway
3556,Justice League of America,250,1960,William York  Wray - 'Bill'
3557,Justice League of America,250,1960,Gene D'Angelo
3558,Justice League of America,250,1960,Luke McDonnell
3559,Justice League,42,2011,Geoff Johns
3560,Justice League,42,2011,Brad Anderson
3561,Justice League,42,2011,Jason Fabok
3562,Green Lantern: Mosaic,18,1992,Robbie Busch
3563,Green Lantern: Mosaic,18,1992,Gerard Jones
3564,Green Lantern: Mosaic,18,1992,Luke McDonnell
3565,Green Lantern,150,1990,W. Moose Baumann
3566,Green Lantern,150,1990,Judd Winick
3567,Green Lantern,150,1990,John Lowe
3568,Green Lantern,150,1990,Dale Eaglesham
3569,Green Lantern,150,1990,Pat Quinn
3570,Green Lantern,150,1990,Rodney Ramos
3572,Batman: The Greatest Stories Ever Told,None,2005,Sheldon Moldoff - 'Shelly'
3573,Batman: The Greatest Stories Ever Told,None,2005,Anton Kawasaki
3574,Batman: The Greatest Stories Ever Told,None,2005,Alex Ross
3575,Batman: The Greatest Stories Ever Told,None,2005,Bob Kane
3576,Batman: The Greatest Stories Ever Told,None,2005,Bill Finger
3577,Nightwing,71,1996,Rick Leonardi
3578,Nightwing,71,1996,Devin Kallie Grayson
3579,Nightwing,71,1996,Jesse Delperdang
3580,Nightwing,71,1996,Gregory A. Wright
3581,Nightwing,71,1996,Digital Chameleon
3582,Green Lantern,55,2005,Shawn Davis
3583,Green Lantern,55,2005,Gabriel A. Eltaeb
3584,Green Lantern,55,2005,Randy G. Mayor
3585,Green Lantern,55,2005,Christian Alamy
3586,Green Lantern,55,2005,Jamie Grant
3587,Green Lantern,55,2005,Tom Nguyen
3588,Green Lantern,55,2005,Keith C. Champagne
3589,Green Lantern,55,2005,Geoff Johns
3590,Green Lantern,55,2005,Doug Mahnke
3591,The Flash,83,1987,Jose Marzan Jr.
3592,The Flash,83,1987,Gina Going-Raney - 'Gina Going'
3593,The Flash,83,1987,Mike Wieringo
3594,The Flash,83,1987,Mark Waid
3595,Justice League Dark,21,2011,Jeromy N. Cox
3596,Justice League Dark,21,2011,Mikel Janin
3597,Justice League Dark,21,2011,Vicente Cifuentes
3598,Justice League Dark,21,2011,Jeff Lemire
3599,Justice League Dark,21,2011,Ray Fawkes
3600,Green Arrow,56,1988,Rick Hoberg
3601,Green Arrow,56,1988,Mike Grell
3602,Green Arrow,56,1988,Julia Lacquement
3603,Green Arrow,56,1988,John Nyberg
3604,Justice League Europe,36,1989,Gerard Jones
3605,Justice League Europe,36,1989,Robert Campanella
3606,Justice League Europe,36,1989,Gene D'Angelo
3607,Justice League Europe,36,1989,Chris Wozniak
3608,Aquaman,35,1994,Tom J. McCraw
3609,Aquaman,35,1994,Jim Calafiore
3610,Aquaman,35,1994,Peter Allen David - 'PAD'
3611,Aquaman,35,1994,Peter Louis Palmiotti
3612,Wonder Woman,206,1987,Tanya Horie
3613,Wonder Woman,206,1987,Ray Snyder
3614,Wonder Woman,206,1987,Drew Edward Johnson
3615,Wonder Woman,206,1987,Richard Horie - 'RMH'
3616,Wonder Woman,206,1987,Greg Rucka
3617,Adventures of Supergirl [I],4,2016,John Rauch
3618,Adventures of Supergirl [I],4,2016,Sterling Gates
3619,Adventures of Supergirl [I],4,2016,Jonboy Meyers
3621,The Flash,17,2011,Brian Buccellato - 'Brian Bucce'
3622,The Flash,17,2011,Francis Manapul
3623,Justice League of America/The 99,4,2010,Fabian Nicieza
3624,Justice League of America/The 99,4,2010,Stuart Moore
3625,Justice League of America/The 99,4,2010,Thomas Derenick
3626,Justice League of America/The 99,4,2010,Drew Geraci
3627,Justice League of America/The 99,4,2010,Allen Passalaqua - 'Allen Passalaqua as I.L.L.'
3628,Flash Comics,42,1940,Maxwell Charles Gaines
3629,Flash Comics,42,1940,Sheldon Mayer
3630,Flash Comics,42,1940,Lou Ferstadt
3631,Flash Comics,42,1940,Ted Udall
3632,Flash Comics,42,1940,Dorothy Rubicek
3633,Green Lanterns,10,2016,Eduardo Pansica
3634,Green Lanterns,10,2016,Sam Humphries
3635,Green Lanterns,10,2016,Blond
3636,Green Lanterns,10,2016,Julio Ferreira
3637,The Flash,24,1987,Greg LaRocque
3638,The Flash,24,1987,William Messner-Loebs
3639,The Flash,24,1987,Tim Dzon
3640,The Flash,24,1987,Michele Wolfman
3641,Green Lantern: New Guardians,14,2011,Amilcar Pinna
3642,Green Lantern: New Guardians,14,2011,Nei Ruffino
3643,Green Lantern: New Guardians,14,2011,Antony J.L. Bedard - 'Tony Bedard'
3644,Green Lantern: New Guardians,14,2011,Andrei Bressan
3645,Green Arrow,80,1988,John Nyberg
3646,Green Arrow,80,1988,Mike Grell
3647,Green Arrow,80,1988,Julia Lacquement
3648,Green Arrow,80,1988,Bill Marimon - 'The Raytrix'
3649,The Daring New Adventures of Supergirl,19,1982,Paul Kupperberg
3650,The Daring New Adventures of Supergirl,19,1982,Nansi Hoolahan
3651,The Daring New Adventures of Supergirl,19,1982,Carmine Infantino
3652,The Daring New Adventures of Supergirl,19,1982,Robert 'Bob' Oksner
3653,The Flash,214,1987,James R. Sinclair - 'Jim'
3654,The Flash,214,1987,Geoff Johns
3655,The Flash,214,1987,John Livesay
3656,The Flash,214,1987,Howard Porter
3657,Aquaman and the Others,11,2014,Matt Milla
3659,Aquaman and the Others,11,2014,Dan Jurgens
3660,Aquaman and the Others,11,2014,Allen Martinez
3661,Aquaman and the Others,11,2014,Lan Medina
3663,Flash Comics,2,1940,Maxwell Charles Gaines
3664,Flash Comics,2,1940,Sheldon Mayer
3665,Flash Comics,2,1940,Dennis Neville
3666,The Flash,5,2011,Brian Buccellato - 'Brian Bucce'
3667,The Flash,5,2011,Francis Manapul
3668,Wonder Woman,15,2011,Cliff Wu Chiang
3669,Wonder Woman,15,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
3670,Wonder Woman,15,2011,Brian Azzarello
3671,The Multiversity Director's Cut,1,2016,(Scanned From Pencils)
3672,The Multiversity Director's Cut,1,2016,Nei Ruffino
3673,The Multiversity Director's Cut,1,2016,Joe Prado
3674,The Multiversity Director's Cut,1,2016,Rian Hughes
3675,The Multiversity Director's Cut,1,2016,(Story is monochromatic)
3676,The Multiversity Director's Cut,1,2016,Eddie Berganza
3677,The Multiversity Director's Cut,1,2016,Grant Morrison
3678,The Multiversity Director's Cut,1,2016,Ivan Reis - 'Rodrigo Ivan dos Reis'
3679,The Multiversity Director's Cut,1,2016,Rickey A. Purdin
3680,The Multiversity Director's Cut,1,2016,Robert 'Bob' Harras
3681,Titans,6,2016,Dan Abnett
3682,Titans,6,2016,Carrie Strachan
3683,Titans,6,2016,Marc Deering
3684,Titans,6,2016,Andrew Dalhouse
3685,Titans,6,2016,Brett Booth
3686,Titans,6,2016,Norm Rapmund
3687,Green Lantern,95,1960,Vincent Joseph Colletta - 'Vince / Vinnie / P. Zorito'
3688,Green Lantern,95,1960,Mike Grell
3689,Green Lantern,95,1960,Elizabeth Ann Berube - 'Liz Berube; Elizabeth'
3690,Green Lantern,95,1960,Dennis 'Denny' O'Neil
3691,Justice League,24,2011,Joe Prado
3692,Justice League,24,2011,Rodrigo Reis - 'Rod'
3693,Justice League,24,2011,Eber Ferreira
3694,Justice League,24,2011,Ivan Reis - 'Rodrigo Ivan dos Reis'
3695,Justice League,24,2011,Oclair Albert
3696,Justice League,24,2011,Geoff Johns
3697,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Ron Marz
3698,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Saleem Crawford
3699,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Richard Friend
3700,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Allen Passalaqua - 'Allen Passalaqua as I.L.L.'
3701,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Angel Unzueta
3702,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Ollie Nome
3703,Countdown Presents: The Search for Ray Palmer: Wildstorm,1,2007,Trevor Scott
3704,Green Arrow,49,2011,Szymon Kudranski
3705,Green Arrow,49,2011,Benjamin Percy
3706,Green Arrow,49,2011,Gabriel A. Eltaeb
3707,Wonder Woman,234,1942,Jerry Serpe
3708,Wonder Woman,234,1942,Vincent Joseph Colletta - 'Vince / Vinnie / P. Zorito'
3709,Wonder Woman,234,1942,Gerry Conway
3710,Wonder Woman,234,1942,Don Heck
3711,Justice League Adventures,33,2002,Heroic Age
3712,Justice League Adventures,33,2002,Matthew K. Manning
3713,Justice League Adventures,33,2002,Tim Levins
3714,Justice League Adventures,33,2002,Cartoon Network
3715,Justice League Adventures,33,2002,Robin Riggs
3718,Aquaman,31,1962,Nick Cardy
3719,Aquaman,31,1962,Bob Haney
3720,Slash & Burn,6,2016,Si Spencer
3721,Slash & Burn,6,2016,Vertigo
3722,Slash & Burn,6,2016,Ande J. Parks
3723,Slash & Burn,6,2016,Nick Filardi
3724,Slash & Burn,6,2016,Max Dunbar
3726,Green Lantern,52,2011,Robert Venditti
3727,Green Lantern,52,2011,Mark John Irwin
3728,Green Lantern,52,2011,Alex Sinclair - 'Sinc'
3729,Green Lantern,52,2011,John Livesay
3730,Green Lantern,52,2011,Billy Tan - 'Billy Tan Mung Khoy'
3731,Dark Knight III: The Master Race,3,2016,Klaus R. Janson
3732,Dark Knight III: The Master Race,3,2016,Andy Kubert
3733,Dark Knight III: The Master Race,3,2016,Frank Miller
3734,Dark Knight III: The Master Race,3,2016,Brad Anderson
3735,Dark Knight III: The Master Race,3,2016,Brian Azzarello
3736,The Flash,211,1959,Irving ''Irv'' Novick
3737,The Flash,211,1959,Julius Schwartz
3738,The Flash,211,1959,Cary Bates
3740,The Flash,211,1959,Dick Giordano
3741,Green Arrow,None,2011,Bill Sienkiewicz
3742,Green Arrow,None,2011,Andrea Sorrentino
3743,Green Arrow,None,2011,Jeff Lemire
3745,Green Arrow,None,2011,Denys B. Cowan
3746,Green Arrow,None,2011,Marcelo Maiolo
3748,Wonder Woman,53,1987,Jill Thompson
3749,Wonder Woman,53,1987,Romeo Tanghal
3750,Wonder Woman,53,1987,Tom Ziuko
3751,Wonder Woman,53,1987,George Prez
3752,Nightwing,152,1996,Hi-Fi Colour Design
3753,Nightwing,152,1996,Don Kramer
3754,Nightwing,152,1996,Peter J. Tomasi
3755,Nightwing,152,1996,Jay Leisten
3756,Superman vs Darkseid: Apokolips Now!,1,2003,Cam Smith
3757,Superman vs Darkseid: Apokolips Now!,1,2003,Marlo Alquiza
3758,Superman vs Darkseid: Apokolips Now!,1,2003,Mark Schultz
3759,Superman vs Darkseid: Apokolips Now!,1,2003,Richard Horie - 'RMH'
3760,Superman vs Darkseid: Apokolips Now!,1,2003,Tanya Horie
3761,Superman vs Darkseid: Apokolips Now!,1,2003,Mike McKone
3762,Dark Knight III: The Master Race,7,2016,Klaus R. Janson
3763,Dark Knight III: The Master Race,7,2016,Andy Kubert
3764,Dark Knight III: The Master Race,7,2016,Frank Miller
3765,Dark Knight III: The Master Race,7,2016,Brad Anderson
3766,Dark Knight III: The Master Race,7,2016,Brian Azzarello
3767,Superwoman,6,2016,Jack Herbert Sr. - 'Jack'
3768,Superwoman,6,2016,Phil Jimenez
3769,Superwoman,6,2016,Hi-Fi Colour Design
3770,Superwoman,6,2016,Matt Santorelli
3771,Batman Incorporated,8,2012,Jason Masters
3772,Batman Incorporated,8,2012,Grant Morrison
3773,Batman Incorporated,8,2012,Nathan Fairbairn
3774,Batman Incorporated,8,2012,Chris Burnham
3775,Justice League: Gods & Monsters [I],4,2015,Bruce Walter Timm
3776,Justice League: Gods & Monsters [I],4,2015,John Marc 'J.M.' DeMatteis
3777,Justice League: Gods & Monsters [I],4,2015,Thony Silas
3778,Justice League: Gods & Monsters [I],4,2015,Tony Avia
3779,Nightwing,13,2016,Chris Sotomayor - 'Soto'
3780,Nightwing,13,2016,Tim Seeley
3781,Nightwing,13,2016,Marcus To
3782,Wonder Woman,12,2016,Nicola Scott
3783,Wonder Woman,12,2016,Romulo Fajardo Jr.
3784,Wonder Woman,12,2016,Greg Rucka
3785,Nightwing,147,1996,Don Kramer
3786,Nightwing,147,1996,Peter J. Tomasi
3787,Nightwing,147,1996,Jay Leisten
3788,Nightwing,147,1996,Nathan Eyring
3789,Sensation Comics Featuring Wonder Woman [I],50,2014,Trina Robbins
3790,Sensation Comics Featuring Wonder Woman [I],50,2014,Chris Gugliotti
3791,Aquaman,1,2011,Joe Prado
3792,Aquaman,1,2011,Rodrigo Reis - 'Rod'
3794,Aquaman,1,2011,Ivan Reis - 'Rodrigo Ivan dos Reis'
3795,Aquaman,1,2011,Geoff Johns
3797,Nightwing,16,2011,Eddy Barrows
3798,Nightwing,16,2011,Eber Ferreira
3799,Nightwing,16,2011,Kyle Higgins
3800,Nightwing,16,2011,Rodrigo Reis - 'Rod'
3801,Aquaman,None,2011,Joe Prado
3802,Aquaman,None,2011,Robin Wildman
3803,Aquaman,None,2011,Eddy Barrows
3804,Aquaman,None,2011,Eber Ferreira
3805,Aquaman,None,2011,Ivan Reis - 'Rodrigo Ivan dos Reis'
3806,Aquaman,None,2011,Geoff Johns
3807,Aquaman,None,2011,Rodrigo Reis - 'Rod'
3808,The Flash: Rebirth,None,2009,Geoff Johns
3809,The Flash: Rebirth,None,2009,Ethan Van Sciver
3810,The Flash,10,2016,Chris Sotomayor - 'Soto'
3811,The Flash,10,2016,Joshua Williamson
3812,The Flash,10,2016,Oclair Albert
3813,The Flash,10,2016,Felipe Watanabe
3814,Green Lantern,197,1960,Anthony Tollin
3815,Green Lantern,197,1960,Bruce D. Patterson
3816,Green Lantern,197,1960,Steve Englehart
3817,Green Lantern,197,1960,Joe Staton
3818,Birds of Prey,120,1999,Hi-Fi Colour Design
3819,Birds of Prey,120,1999,Michael S. O'Hare
3820,Birds of Prey,120,1999,Antony J.L. Bedard - 'Tony Bedard'
3821,Birds of Prey,120,1999,John Floyd
3822,Wonder Woman,None,1987,Thomas Derenick
3823,Wonder Woman,None,1987,Wildstorm FX
3824,Wonder Woman,None,1987,Greg Rucka
3825,Wonder Woman,None,1987,Bob Petrecca
3826,Wonder Woman,None,1987,David Lpez
3827,Wonder Woman,None,1987,Dexter Vines
3828,Wonder Woman,None,1987,Michael Bair - 'Michael A. Hernandez'
3829,Wonder Woman,None,1987,Richard Horie - 'RMH'
3830,Wonder Woman,None,1987,Cliff Richards
3831,Wonder Woman,None,1987,Mark Propst
3832,Wonder Woman,None,1987,Karl Kerschl
3833,Wonder Woman,None,1987,Ray Snyder
3834,Wonder Woman,None,1987,Ron Randall
3835,Wonder Woman,None,1987,Nelson
3836,Wonder Woman,None,1987,Georges Jeanty
3837,Wonder Woman,None,1987,Tanya Horie
3838,Wonder Woman,None,1987,Javier Bergantio - 'Bit'
3839,Wonder Woman,None,1987,Rags Morales - 'Ralph Morales'
3840,Scooby Apocalypse,8,2016,Hi-Fi Colour Design
3841,Scooby Apocalypse,8,2016,Jose Marzan Jr.
3842,Scooby Apocalypse,8,2016,Keith Ian Giffen
3843,Scooby Apocalypse,8,2016,Ron Wagner
3844,Scooby Apocalypse,8,2016,Dale Eaglesham
3845,Scooby Apocalypse,8,2016,Hanna-Barbera
3846,Scooby Apocalypse,8,2016,John Marc 'J.M.' DeMatteis
3847,Scooby Apocalypse,8,2016,Marc Deering
3849,The Flash,171,1987,Scott Kolins
3850,The Flash,171,1987,Geoff Johns
3851,The Flash,171,1987,Doug Hazlewood
3852,The Flash,171,1987,James R. Sinclair - 'Jim'
3853,The Flash,171,1987,Digital Chameleon
3854,Aquaman,6,2016,Brad Walker
3855,Aquaman,6,2016,Gabriel A. Eltaeb
3856,Aquaman,6,2016,Andrew 'Drew' Hennessy
3857,Aquaman,6,2016,Dan Abnett
3858,The Flash,172,1987,Scott Kolins
3859,The Flash,172,1987,Geoff Johns
3860,The Flash,172,1987,Doug Hazlewood
3861,The Flash,172,1987,James R. Sinclair - 'Jim'
3862,The Flash,172,1987,Digital Chameleon
3863,Wonder Woman,43,2006,Doug Hazlewood
3864,Wonder Woman,43,2006,Nicola Scott
3865,Wonder Woman,43,2006,Gail Simone
3866,Wonder Woman,43,2006,Wayne Faucher
3867,Wonder Woman,43,2006,Brad Anderson
3868,Wonder Woman,43,2006,Fernando Dagnino
3869,Wonder Woman,43,2006,Javier Bergantio - 'Bit'
3870,Injustice: Gods Among Us: Year Five,19,2016,Alejandro Germnico Benito Gonzlez - 'Xermanico'
3871,Injustice: Gods Among Us: Year Five,19,2016,Brian Buccellato - 'Brian Bucce'
3872,Injustice: Gods Among Us: Year Five,19,2016,Rex Lokus
